Community_ID,Community_Name,State,Country,Population,Population_Density,Average_Monthly_Waste_Generated_Tons,Waste_Collection_Frequency_Per_Week,Illegal_Dumping_Reports,Blocked_Drainage_Incidents,Flood_Incidents_Last_Year,Distance_To_Waste_Disposal_Site_KM,Environmental_Complaints,Sanitation_Awareness_Score,Waste_Recycling_Rate,Economic_Status_Index,Infrastructure_Quality_Score,Year_Data_Collected,Risk_Level,Hotspot_Status,Risk_Score _Original,EcoTrack_Risk_Category_Original,Risk_Score_Corrected,EcoTrack_Risk_Category_Corrected,Date,Early_Warning_Flag,Collection_Gap_Flag,Disposal_Acess_Flag
12,New Village 143,Akwa Ibom,Nigeria,48909,99,12.61,1,17,7,2,42.3,30,38,3,1,52,2022,High,Yes,12.7,Medium Risk,0.540812877,Medium,12/10/2022,Stable,Adequate,Standard
13,New Estate 124,Borno,Nigeria,45760,489,13.31,1,19,7,5,68.8,43,39,9,1,35,2024,High,Yes,16.1,High Risk,0.699208186,High,19/04/2024,At Risk,Adequate,Structural Hotspot
14,Central Gate 29,Imo,Nigeria,59252,128,15.97,2,12,5,5,57.9,45,36,39,1,50,2023,High,Yes,13.45,Medium Risk,0.552495059,Medium,28/12/2023,Stable,Adequate,Standard
15,West Quarter 16,Borno,Nigeria,84056,160,32.62,1,16,6,3,55,41,14,31,1,35,2024,High,No,14,Medium Risk,0.563065581,Medium,12/6/2024,At Risk,Underserved,Standard
16,West District 154,Akwa Ibom,Nigeria,42563,303,11.39,1,17,8,5,28.4,39,47,12,2,52,2024,High,Yes,15.05,High Risk,0.68097436,High,10/9/2024,Stable,Adequate,Standard
17,South District 12,Imo,Nigeria,34081,131,11.79,1,19,9,5,33.3,42,38,0,1,50,2024,High,Yes,16.45,High Risk,0.742031152,Critical,16/05/2024,Stable,Adequate,Standard
18,West Quarter 123,Lagos,Nigeria,95089,753,28.64,4,1,1,0,28.9,11,62,56,3,80,2022,Low,No,2.25,Low Risk,0.04847098,Low,25/12/2022,Stable,Adequate,Standard
19,New District 166,FCT,Nigeria,59651,683,20.95,2,8,4,1,13.8,20,60,28,6,85,2024,Medium,No,7.05,Medium Risk,0.278108748,Low,6/7/2024,Stable,Adequate,Standard
20,Central Park 105,Kano,Nigeria,59596,209,18.8,1,16,9,6,31.2,54,16,0,2,50,2024,High,Yes,17.45,High Risk,0.759207926,Critical,1/5/2024,Stable,Underserved,Standard
21,East District 54,Kaduna,Nigeria,17547,240,5.81,1,16,7,5,79.5,45,28,18,4,45,2024,High,Yes,15.35,High Risk,0.65881917,High,24/09/2024,Stable,Adequate,Structural Hotspot
22,East District 157,Enugu,Nigeria,70530,123,20.95,1,13,6,2,29.9,22,56,5,3,55,2022,High,Yes,9.85,Medium Risk,0.436163408,Low,3/5/2022,Stable,Underserved,Standard
23,North Gate 197,Kano,Nigeria,16318,88,6.42,1,15,5,4,78,40,34,0,1,50,2023,High,Yes,13.5,Medium Risk,0.553739338,Medium,22/12/2023,Stable,Adequate,Standard
24,North Market 133,FCT,Nigeria,60128,535,17.89,2,5,3,2,14,18,74,25,9,85,2024,Low,No,5.7,Low Risk,0.235716143,Low,1/3/2024,Stable,Adequate,Standard
25,West Village 81,Bauchi,Nigeria,38097,261,14.3,1,17,9,3,40.5,33,37,18,1,40,2024,High,Yes,13.9,Medium Risk,0.625412159,Medium,24/10/2024,Stable,Adequate,Standard
26,North Village 93,FCT,Nigeria,55418,950,14.73,3,1,2,0,19.6,9,81,24,7,85,2023,Low,No,2.2,Low Risk,0.065935095,Low,27/03/2023,Stable,Adequate,Standard
27,East Village 63,Oyo,Nigeria,22987,257,6.86,1,14,4,3,73.1,34,30,16,3,60,2023,High,Yes,11.75,Medium Risk,0.468755201,Low,24/03/2023,Stable,Adequate,Standard
28,East Village 115,Lagos,Nigeria,84687,406,24.13,1,8,5,4,5.9,38,44,20,5,80,2024,High,Yes,10.75,Medium Risk,0.441954441,Low,13/11/2024,Stable,Underserved,Standard
29,West Estate 169,Plateau,Nigeria,57136,212,14.25,1,15,7,2,38.1,37,24,37,4,48,2024,High,Yes,13.05,Medium Risk,0.528799147,Medium,11/5/2024,Stable,Adequate,Standard
30,Old Area 179,FCT,Nigeria,104853,313,32.21,2,6,2,0,9.3,14,38,42,6,85,2024,Medium,No,4.7,Low Risk,0.155179946,Low,10/6/2024,Stable,Adequate,Standard
31,East District 151,Plateau,Nigeria,34528,72,14.57,1,18,10,5,64.9,45,28,16,4,48,2024,High,Yes,16.8,High Risk,0.757435771,Critical,25/12/2024,Stable,Adequate,Structural Hotspot
32,New District 165,Imo,Nigeria,26750,278,7.71,2,14,6,4,76,45,20,38,3,50,2024,High,Yes,14.15,High Risk,0.574407115,Medium,13/09/2024,Stable,Adequate,Standard
33,East District 104,FCT,Nigeria,62850,718,20.98,3,6,3,1,20.6,33,16,11,7,85,2023,Low,No,8.05,Medium Risk,0.259157219,Low,13/03/2023,Stable,Adequate,Standard
34,North Park 47,Akwa Ibom,Nigeria,23293,215,6.5,1,17,9,5,24.9,42,34,10,6,52,2024,High,Yes,15.75,High Risk,0.71159637,Critical,28/06/2024,Stable,Adequate,Standard
35,West Estate 141,Rivers,Nigeria,43767,189,18.44,1,13,6,3,51.8,33,49,11,3,65,2023,High,Yes,11.75,Medium Risk,0.496360776,Low,12/10/2023,Stable,Underserved,Standard
36,New Gate 1,Akwa Ibom,Nigeria,107544,197,33.19,1,16,8,4,54.4,49,14,14,1,52,2024,High,Yes,15.95,High Risk,0.660822758,High,19/10/2024,Stable,Underserved,Standard
37,East Village 182,Enugu,Nigeria,33840,73,12.63,2,11,4,1,49.9,27,29,37,2,55,2023,Medium,Yes,9.15,Medium Risk,0.342181974,Low,22/04/2023,Stable,Adequate,Standard
38,East Area 62,Akwa Ibom,Nigeria,20095,214,5.81,2,13,4,3,51.2,34,37,34,2,52,2023,High,Yes,11.4,Medium Risk,0.453537809,Low,5/9/2023,Stable,Adequate,Standard
39,New Quarter 32,Lagos,Nigeria,41584,1486,13.38,2,12,2,0,19,16,42,15,4,80,2024,Medium,No,7.1,Medium Risk,0.251747452,Low,17/09/2024,Stable,Adequate,Standard
40,West Gate 151,Oyo,Nigeria,31722,319,10.19,1,16,5,3,61.9,32,50,29,3,60,2023,High,Yes,12.4,Medium Risk,0.516654098,Medium,3/11/2023,Stable,Adequate,Structural Hotspot
41,New Estate 158,FCT,Nigeria,39285,602,10.78,1,9,2,1,20.6,10,69,12,4,85,2024,Medium,No,5.4,Low Risk,0.221555804,Low,14/11/2024,Stable,Adequate,Standard
42,East Estate 17,Akwa Ibom,Nigeria,35650,220,13.86,1,13,6,2,23.6,23,59,28,5,52,2024,High,Yes,10,Medium Risk,0.438794986,Low,3/11/2024,Stable,Adequate,Standard
43,New Quarter 115,FCT,Nigeria,74725,432,25.05,2,10,3,2,27.9,31,23,26,6,85,2022,Medium,No,9.4,Medium Risk,0.346013626,Low,19/02/2022,Stable,Adequate,Standard
44,East District 171,Imo,Nigeria,53449,170,16.07,1,16,6,4,25.5,47,10,22,2,50,2023,High,Yes,15.15,High Risk,0.610105055,Medium,2/6/2023,Stable,Underserved,Standard
45,West Market 198,Akwa Ibom,Nigeria,101397,270,28.39,1,18,7,3,74.6,41,11,33,3,52,2024,High,Yes,14.95,High Risk,0.616227637,Medium,28/04/2024,Stable,Underserved,Structural Hotspot
46,West Village 108,Akwa Ibom,Nigeria,34780,232,11.22,1,16,6,4,75.1,35,48,15,5,52,2024,High,Yes,13.35,Medium Risk,0.578526108,Medium,8/11/2024,Stable,Adequate,Structural Hotspot
47,Old Area 123,Borno,Nigeria,58469,178,21.7,1,22,10,6,42.7,46,46,25,2,35,2022,High,Yes,18.6,High Risk,0.852186915,Critical,23/10/2022,Stable,Underserved,Standard
48,Old District 73,Kaduna,Nigeria,35650,180,10.16,1,14,7,2,62.6,32,26,27,2,45,2024,High,Yes,11.95,Medium Risk,0.500423861,Low,25/01/2024,Stable,Adequate,Standard
49,North District 5,Lagos,Nigeria,40895,467,14.24,1,12,5,2,15,24,48,39,5,80,2022,High,No,9.55,Medium Risk,0.403481901,Low,6/10/2022,Stable,Adequate,Standard
50,South Quarter 170,Enugu,Nigeria,28114,390,8.49,1,14,6,2,53.5,34,20,17,5,55,2022,High,No,12,Medium Risk,0.482959746,Low,19/05/2022,Stable,Adequate,Standard
51,New District 107,Plateau,Nigeria,46017,163,13.64,1,18,8,6,50.3,48,41,26,5,48,2023,High,Yes,17,High Risk,0.751125962,Critical,21/07/2023,Stable,Adequate,Standard
52,New District 163,Plateau,Nigeria,37139,218,10.53,1,16,7,4,74.1,47,16,27,1,48,2022,High,Yes,15.4,High Risk,0.632832328,High,20/11/2022,Stable,Adequate,Structural Hotspot
53,Old Area 179,Enugu,Nigeria,63090,160,21.43,1,16,6,3,18.8,31,60,13,1,55,2022,High,Yes,12.5,Medium Risk,0.536749792,Medium,19/11/2022,Stable,Underserved,Standard
54,Old Village 1,Bauchi,Nigeria,68875,145,17.14,1,15,8,5,57.5,50,15,2,2,40,2024,High,Yes,16,High Risk,0.679486946,High,20/03/2024,At Risk,Underserved,Standard
55,New District 24,Imo,Nigeria,48866,122,13.43,1,19,8,4,27.1,40,35,26,4,50,2024,High,Yes,15.65,High Risk,0.682790722,High,9/6/2024,Stable,Adequate,Standard
56,Central Quarter 102,Borno,Nigeria,76995,406,21.92,1,20,7,5,24.7,53,20,9,3,35,2024,High,Yes,17.95,High Risk,0.740741367,Critical,12/6/2024,Stable,Underserved,Standard
57,New Park 90,Plateau,Nigeria,34744,106,10.56,2,13,6,3,36.2,40,15,15,3,48,2022,High,Yes,12.8,Medium Risk,0.514781829,Medium,11/4/2022,Stable,Adequate,Standard
58,East Estate 14,Imo,Nigeria,27159,251,10.36,1,20,9,5,67.1,45,40,13,6,50,2023,High,Yes,17.25,High Risk,0.765143281,Critical,16/01/2023,Stable,Adequate,Structural Hotspot
59,East Park 97,Bauchi,Nigeria,39648,454,14.72,1,20,9,5,43.2,41,31,5,2,40,2023,High,Yes,16.65,High Risk,0.754616965,Critical,1/11/2023,Stable,Adequate,Standard
60,West Park 99,Kaduna,Nigeria,60425,172,13.4,1,17,9,6,46.6,51,20,11,4,45,2023,High,Yes,17.35,High Risk,0.76653058,Critical,14/12/2023,Stable,Adequate,Standard
61,South Park 31,Imo,Nigeria,39296,219,11.71,1,15,4,3,53.5,35,24,4,5,50,2024,High,Yes,12.25,Medium Risk,0.486604171,Low,13/07/2024,Stable,Adequate,Standard
62,North Market 108,Bauchi,Nigeria,33432,314,9.32,1,19,9,4,39.7,43,10,30,5,40,2024,High,Yes,16.35,High Risk,0.713412731,Critical,6/11/2024,Stable,Adequate,Standard
63,West Quarter 151,Bauchi,Nigeria,39267,176,12.07,1,15,7,2,17.7,33,26,14,4,40,2024,High,Yes,12.45,Medium Risk,0.518272831,Medium,26/03/2024,Stable,Adequate,Standard
64,South Market 196,Rivers,Nigeria,22696,261,7.61,1,13,6,4,76.4,36,46,50,6,65,2024,High,Yes,12.45,Medium Risk,0.535505513,Medium,4/7/2024,Stable,Adequate,Standard
65,North Gate 88,Lagos,Nigeria,68018,747,27.46,2,6,3,2,12.2,23,52,42,5,80,2024,Medium,No,6.8,Low Risk,0.264091429,Low,5/5/2024,Stable,Adequate,Standard
66,North Quarter 117,Enugu,Nigeria,18782,343,5,2,14,8,4,53.2,41,32,9,3,55,2024,High,No,14.05,High Risk,0.609335344,Medium,25/10/2024,Stable,Adequate,Standard
67,East Village 34,Imo,Nigeria,76410,192,19.24,1,15,8,5,48.9,50,25,21,4,50,2023,High,Yes,16,High Risk,0.679486946,High,24/06/2023,Stable,Underserved,Standard
68,Old Quarter 84,Rivers,Nigeria,23454,105,5.23,1,12,6,2,26.8,27,35,32,8,65,2022,High,Yes,10.25,Medium Risk,0.434103911,Low,6/3/2022,Stable,Adequate,Standard
69,Central Quarter 60,Rivers,Nigeria,40127,141,14.4,2,15,7,5,26.4,39,50,29,7,65,2023,High,Yes,14.1,High Risk,0.627812305,Medium,14/03/2023,Stable,Adequate,Standard
70,West Village 42,Kaduna,Nigeria,25825,214,6.8,1,16,8,6,50.5,43,51,1,2,45,2024,High,Yes,15.55,High Risk,0.707533285,High,17/12/2024,Stable,Adequate,Standard
71,West Quarter 27,Enugu,Nigeria,113369,322,32,1,15,8,3,53.7,40,10,35,1,55,2023,High,Yes,14,Medium Risk,0.590671157,Medium,12/2/2023,Stable,Underserved,Standard
72,New Estate 190,FCT,Nigeria,77541,288,19.1,2,5,1,0,13.3,13,52,35,6,85,2024,Low,No,3.95,Low Risk,0.114603703,Low,14/08/2024,Stable,Adequate,Standard
73,Old District 66,Plateau,Nigeria,43263,181,14.09,1,18,8,4,66.2,42,33,4,3,48,2022,High,Yes,15.6,High Risk,0.672836488,High,17/08/2022,Stable,Adequate,Structural Hotspot
74,Central Quarter 14,Plateau,Nigeria,15183,242,5.3,1,17,7,3,75.5,34,35,18,5,48,2024,High,Yes,13.55,Medium Risk,0.582589193,Medium,11/12/2024,Stable,Adequate,Structural Hotspot
75,New Quarter 32,Plateau,Nigeria,31202,271,10.07,1,16,7,5,76.9,46,36,18,1,48,2024,High,Yes,15.5,High Risk,0.661450749,High,8/4/2024,Stable,Adequate,Structural Hotspot
76,East Park 40,Borno,Nigeria,37155,65,9.25,1,16,8,4,79.7,44,20,9,1,35,2024,High,Yes,15.2,High Risk,0.647664864,High,14/05/2024,At Risk,Adequate,Structural Hotspot
77,New District 79,Lagos,Nigeria,53039,410,15.52,2,10,6,1,13.9,35,18,27,3,80,2024,Medium,Yes,10.5,Medium Risk,0.39347176,Low,3/2/2024,Stable,Adequate,Standard
78,Central District 113,FCT,Nigeria,48056,619,15.62,2,4,4,0,13.1,14,50,54,3,85,2023,Low,No,4.5,Low Risk,0.170199709,Low,11/11/2023,Stable,Adequate,Standard
79,North District 160,Plateau,Nigeria,16644,237,5.59,1,16,8,4,68.6,46,10,1,2,48,2024,High,Yes,15.5,High Risk,0.652928022,High,18/03/2024,Stable,Adequate,Structural Hotspot
80,New Quarter 81,Borno,Nigeria,90242,197,25.98,1,17,10,4,65.4,45,10,20,4,35,2023,High,Yes,16.2,High Risk,0.710968379,Critical,23/02/2023,At Risk,Underserved,Structural Hotspot
81,Old Area 146,Akwa Ibom,Nigeria,50879,83,18.87,1,14,7,6,17.7,48,53,29,4,52,2024,High,Yes,15.35,High Risk,0.667529124,High,22/11/2024,Stable,Underserved,Standard
82,West Park 86,Kaduna,Nigeria,32010,117,9.1,1,17,10,4,72.2,37,44,0,1,45,2024,High,Yes,15,High Risk,0.689915748,High,12/2/2024,Stable,Adequate,Structural Hotspot
83,West Area 111,Enugu,Nigeria,48229,173,14.63,1,16,7,4,50.2,44,36,28,1,55,2024,High,No,14.95,High Risk,0.624937591,Medium,26/08/2024,Stable,Adequate,Standard
84,North District 186,Akwa Ibom,Nigeria,31822,181,11.75,1,19,8,3,38.1,34,37,38,1,52,2022,High,Yes,14.5,High Risk,0.635751248,High,5/8/2022,Stable,Adequate,Standard
85,Central Area 24,Rivers,Nigeria,20945,351,7.57,2,9,4,2,40.2,23,53,47,4,65,2022,Medium,Yes,8.1,Medium Risk,0.332470876,Low,10/5/2022,Stable,Adequate,Standard
86,Central Market 45,Oyo,Nigeria,75939,418,20.23,1,16,6,1,23,21,41,33,3,60,2024,High,Yes,10.5,Medium Risk,0.447934002,Low,25/09/2024,Stable,Underserved,Standard
87,South Estate 35,Lagos,Nigeria,55950,876,20,2,8,5,4,9.6,40,26,25,7,80,2024,Medium,No,11.05,Medium Risk,0.447217599,Low,12/4/2024,Stable,Adequate,Standard
88,South Area 138,Imo,Nigeria,46168,135,14.06,2,15,8,5,23.8,52,13,34,3,50,2023,High,Yes,16.3,High Risk,0.684750104,High,19/09/2023,Stable,Adequate,Standard
89,North Area 128,Enugu,Nigeria,32565,139,11.09,2,16,8,3,20.6,30,44,9,4,55,2024,High,Yes,12.85,Medium Risk,0.579572758,Medium,11/8/2024,Stable,Adequate,Standard
90,North Estate 85,Plateau,Nigeria,43900,182,12.43,1,15,8,5,50.4,51,19,0,3,48,2024,High,Yes,16.15,High Risk,0.682118525,High,11/4/2024,Stable,Adequate,Standard
91,New Park 68,FCT,Nigeria,106219,631,37.45,3,3,2,0,25.2,18,41,26,7,85,2023,Low,No,4.25,Low Risk,0.120054088,Low,4/6/2023,Stable,Adequate,Standard
92,East Area 41,Rivers,Nigeria,17908,193,5.47,2,13,5,2,21.9,16,86,32,7,65,2024,Medium,Yes,8.7,Medium Risk,0.397646661,Low,21/08/2024,Stable,Adequate,Standard
93,Old Area 124,Rivers,Nigeria,27200,323,7.12,1,16,5,3,54.9,29,50,26,1,65,2024,High,Yes,11.95,Medium Risk,0.508759361,Medium,23/12/2024,Stable,Adequate,Standard
94,Old Market 133,Bauchi,Nigeria,58058,128,18.56,1,17,8,5,36,49,14,20,1,40,2022,High,Yes,16.55,High Risk,0.70729015,High,27/08/2022,Stable,Underserved,Standard
95,New District 163,Kano,Nigeria,41207,213,13.35,1,18,8,6,38.3,45,49,8,2,50,2024,High,Yes,16.55,High Risk,0.743231225,Critical,17/01/2024,Stable,Adequate,Standard
96,Old District 57,Rivers,Nigeria,40654,231,16.21,1,15,6,2,35.5,28,43,13,4,65,2024,High,Yes,11.45,Medium Risk,0.482387664,Low,21/08/2024,Stable,Underserved,Standard
97,East Market 154,FCT,Nigeria,47139,606,15.82,1,12,3,0,10.7,18,36,49,5,85,2023,High,Yes,7.65,Medium Risk,0.279737882,Low,26/05/2023,Stable,Underserved,Standard
98,Old Village 53,Enugu,Nigeria,50652,143,17.17,1,17,7,4,22.3,42,27,44,3,55,2022,High,Yes,15,High Risk,0.634891824,High,26/03/2022,Stable,Underserved,Standard
99,Old District 195,Kano,Nigeria,30305,263,11.7,1,13,7,6,69.5,50,21,30,2,50,2024,High,Yes,15.3,High Risk,0.657574891,High,25/06/2024,Stable,Adequate,Standard
100,East Quarter 4,Borno,Nigeria,40970,261,14.02,2,14,5,4,73,42,41,0,4,35,2024,High,Yes,13.45,Medium Risk,0.543785105,Medium,9/11/2024,Stable,Adequate,Standard
101,East Gate 141,Enugu,Nigeria,80764,163,18.2,1,12,7,4,30.5,44,10,49,2,55,2023,High,Yes,13.55,Medium Risk,0.564068026,Medium,22/08/2023,Stable,Underserved,Standard
102,New Area 108,Enugu,Nigeria,41625,215,10.2,1,14,7,4,72.2,33,52,22,3,55,2023,High,No,12.6,Medium Risk,0.56555544,Medium,9/11/2023,Stable,Adequate,Standard
103,Old Village 156,Kano,Nigeria,38049,212,12.71,1,15,6,4,31.7,39,32,11,4,50,2023,High,Yes,13.6,Medium Risk,0.573835032,Medium,4/7/2023,Stable,Adequate,Standard
104,Old Gate 55,Akwa Ibom,Nigeria,33749,191,10.76,1,18,6,4,71.8,36,42,25,1,52,2022,High,Yes,14.2,High Risk,0.611592469,Medium,16/05/2022,Stable,Adequate,Structural Hotspot
105,New Village 48,Imo,Nigeria,37965,132,12.71,2,12,6,3,71,43,10,8,1,50,2024,High,Yes,12.9,Medium Risk,0.507459174,Medium,3/11/2024,Stable,Adequate,Standard
106,North Area 65,Imo,Nigeria,31478,175,8,1,16,7,1,15.4,27,35,14,1,50,2024,High,Yes,11.65,Medium Risk,0.486450749,Low,17/08/2024,Stable,Adequate,Standard
107,East Market 196,Rivers,Nigeria,39856,186,13.08,1,13,4,1,35.4,21,38,26,4,65,2023,High,Yes,8.95,Medium Risk,0.356827283,Low,23/06/2023,Stable,Adequate,Standard
108,New Village 141,Oyo,Nigeria,17184,81,5.46,1,16,7,2,31.9,29,27,13,4,60,2023,High,Yes,12.2,Medium Risk,0.522963907,Medium,8/11/2023,Stable,Adequate,Standard
109,New Gate 184,Oyo,Nigeria,45737,215,16,1,15,6,3,50.3,34,39,37,4,60,2022,High,Yes,12.6,Medium Risk,0.529427138,Medium,3/8/2022,Stable,Underserved,Standard
110,East Quarter 179,Rivers,Nigeria,27805,179,7.56,1,10,4,5,51.6,53,20,12,4,65,2024,High,No,13.7,Medium Risk,0.520385636,Medium,19/02/2024,Stable,Adequate,Standard
111,East Market 47,Rivers,Nigeria,49824,200,15.33,1,12,6,4,75.4,29,72,39,5,65,2023,High,Yes,11.05,Medium Risk,0.501867069,Low,6/9/2023,Stable,Underserved,Standard
112,New Village 72,Kano,Nigeria,27640,292,9.52,1,18,8,5,70,41,40,22,1,50,2023,High,Yes,15.7,High Risk,0.70145491,High,11/6/2023,Stable,Adequate,Structural Hotspot
113,New Park 27,Kano,Nigeria,35577,452,12.65,1,17,7,2,24.4,29,44,25,2,50,2023,High,Yes,12.55,Medium Risk,0.538181298,Medium,22/11/2023,Stable,Adequate,Standard
114,North Area 79,Enugu,Nigeria,31602,64,9.69,1,14,6,3,44.2,34,48,36,4,55,2023,High,Yes,12.25,Medium Risk,0.514209746,Medium,10/8/2023,Stable,Adequate,Standard
115,South Gate 65,Enugu,Nigeria,28246,123,10.7,1,17,8,5,53.6,46,35,0,2,55,2024,High,Yes,16.1,High Risk,0.699395413,High,24/04/2024,Stable,Adequate,Standard
116,Central Gate 196,Bauchi,Nigeria,51111,139,15.24,1,18,8,5,47.1,53,15,0,3,40,2024,High,No,17.5,High Risk,0.733033857,Critical,7/11/2024,Stable,Underserved,Standard
117,North Park 130,Plateau,Nigeria,24081,205,7.33,1,15,4,3,44.8,36,20,13,3,48,2024,High,Yes,12.4,Medium Risk,0.48923575,Low,25/12/2024,Stable,Adequate,Standard
118,New Market 54,Plateau,Nigeria,29988,540,11.39,2,14,6,3,56.9,34,45,10,3,48,2023,High,Yes,12.25,Medium Risk,0.514209746,Medium,20/10/2023,Stable,Adequate,Standard
119,Old Quarter 186,Imo,Nigeria,33468,216,9.52,1,16,6,5,73.9,40,43,36,2,50,2023,High,Yes,14.35,High Risk,0.622934002,Medium,2/12/2023,Stable,Adequate,Structural Hotspot
120,New Estate 104,Borno,Nigeria,49788,254,15.67,1,20,8,5,44.8,42,31,4,2,35,2024,High,Yes,16.55,High Risk,0.734521271,Critical,28/01/2024,Stable,Underserved,Standard
121,North Park 52,Plateau,Nigeria,16436,545,6.34,2,14,7,5,73.2,50,21,30,3,48,2022,High,Yes,15.4,High Risk,0.641542282,High,26/02/2022,Stable,Adequate,Standard
122,New District 8,Enugu,Nigeria,31626,69,8.08,1,12,6,5,20,46,33,14,8,55,2023,High,Yes,13.85,Medium Risk,0.577853911,Medium,17/09/2023,Stable,Adequate,Standard
123,New Market 118,Borno,Nigeria,14840,114,5,1,19,9,4,47.4,41,29,0,2,35,2023,High,No,16.05,High Risk,0.708149574,Critical,10/11/2023,Stable,Adequate,Standard
124,Central Village 22,Oyo,Nigeria,44271,185,17.25,1,17,8,4,65.2,44,17,23,1,60,2023,High,Yes,15.55,High Risk,0.662882255,High,12/2/2023,Stable,Underserved,Structural Hotspot
125,Old District 91,FCT,Nigeria,76709,761,23.78,4,0,0,0,5.8,14,49,43,3,85,2024,Low,No,2.1,Low Risk,0.018421053,Low,3/9/2024,Stable,Adequate,Standard
126,North District 132,Oyo,Nigeria,19937,273,6.54,1,15,6,2,52.7,23,65,25,2,60,2024,High,No,10.7,Medium Risk,0.469229769,Low,25/06/2024,Stable,Adequate,Standard
127,North Park 181,Kaduna,Nigeria,18870,82,5.81,1,15,4,3,67.7,41,19,30,4,45,2024,High,Yes,13.15,Medium Risk,0.502393645,Low,27/02/2024,Stable,Adequate,Standard
128,Central Estate 50,Akwa Ibom,Nigeria,43066,165,17.94,1,18,7,3,15.7,40,22,18,5,52,2024,High,Yes,14.8,High Risk,0.613596058,Medium,20/05/2024,Stable,Underserved,Standard
129,Old Quarter 48,FCT,Nigeria,41638,432,14.22,2,4,2,0,22.7,11,58,40,6,85,2022,Low,No,3.55,Low Risk,0.116850426,Low,6/4/2022,Stable,Adequate,Standard
130,New Gate 76,Rivers,Nigeria,22850,220,6.42,1,11,4,2,23.1,26,42,37,3,65,2024,High,Yes,9.25,Medium Risk,0.370800395,Low,19/06/2024,Stable,Adequate,Standard
131,East Area 83,Kaduna,Nigeria,28695,165,6.4,1,16,7,4,66.8,37,43,19,1,45,2024,High,Yes,13.9,Medium Risk,0.606516538,Medium,26/01/2024,Stable,Adequate,Structural Hotspot
132,South Estate 72,FCT,Nigeria,123157,533,39.36,3,4,1,1,21.8,20,45,43,8,85,2024,Low,No,4.9,Low Risk,0.149057364,Low,14/11/2024,Stable,Adequate,Standard
133,Old Gate 141,Borno,Nigeria,87332,177,25.61,1,18,9,6,31.1,57,10,28,1,35,2022,High,Yes,18.6,High Risk,0.797537445,Critical,8/3/2022,Stable,Underserved,Standard
134,Old Village 131,Rivers,Nigeria,61152,395,18,2,10,3,0,78.1,17,40,14,6,65,2023,Medium,No,6.8,Low Risk,0.246671521,Low,6/2/2023,Stable,Adequate,Standard
